Five Easy Pieces	1970	2013-05-10	Amazon
Wreck-It Ralph	2012	2013-05-26	Borrowed DVD
Masked and Anonymous	2003	2013-06-26	Personal DVD
The Cabin in the Woods	2012	2013-07-03	Netflix Streaming
Jackie Brown	1997	2013-07-13	Personal DVD
Time Bandits	1981	2013-08-15	Borrowed DVD
The Last Waltz	1978	2013-09-06	Personal DVD
The Hitch-Hiker	1953	2013-09-12	Personal DVD
Planes, Trains & Automobiles	1987	2013-09-13	Netflix Streaming
The Maltese Falcon	1941	2013-09-25	Personal DVD
Gravity	2013	2013-10-05	Theater
His Girl Friday	1940	2013-10-12	Netflix Streaming
Gravity	2013	2013-10-18	Theater
Room 237	2012	2013-10-26	Netflix Streaming
The Producers	1967	2013-11-15	Personal DVD
Spaceballs	1987	2013-11-16	Personal BlueRay
Europa Report	2013	2013-11-22	Netflix Streaming
The Twelve Chairs	1970	2013-11-29	Personal BlueRay
Blazing Saddles	1974	2013-11-30	Personal BlueRay
The Hobbit: An Unexpected Journey	2012	2013-12-13	Personal BlueRay
Young Frankenstein	1974	2013-12-20	Personal BlueRay
Meet the Fockers	2004	2013-12-24	HBO
The Hobbit: The Desolation of Smaug	2013	2013-12-27	Theater
The Lord of the Rings: The Fellowship of the Ring	2001	2014-01-01	Personal BlueRay
Silent Movie	1976	2014-01-02	Personal BlueRay
History of the World: Part I	1981	2014-02-01	Personal BlueRay
The Lord of the Rings: The Two Towers	2002	2014-02-07	Personal BlueRay
The Lord of the Rings: The Return of the King	2003	2014-02-20	Personal BlueRay
Ghostbusters	1984	2014-03-01	Personal DVD
The Girl with the Dragon Tattoo	2011	2014-04-23	Netflix Streaming
The Girl Who Played with Fire	2009	2014-05-08	Netflix Streaming
Belle	2013	2014-05-25	Theater
The Girl Who Kicked the Hornet's Nest	2009	2014-05-31	Netflix Streaming
20 Feet from Stardom	2013	2014-07-12	Netflix Streaming
The Fisher King	1991	2014-08-21	Netflix Streaming
Pirates of the Caribbean: At World's End	2007	2014-11-28	Amazon
The Hobbit: An Unexpected Journey	2012	2014-12-14	Personal BlueRay
The Talented Mr. Ripley	1999	2014-12-21	iTunes
The Hobbit: The Desolation of Smaug	2013	2014-12-24	Personal BlueRay
The Hobbit: The Battle of the Five Armies	2014	2014-12-28	Theater
The Princess Bride	1987	2015-01-03	Amazon
The Hitchhiker's Guide to the Galaxy	2005	2015-02-26	Personal DVD
High Anxiety	1977	2015-04-11	Personal BlueRay
Under the Skin	2013	2015-06-12	Amazon
Casablanca	1942	2015-06-19	Personal DVD
The Godfather	1972	2015-06-19	Personal DVD
Despicable Me	2010	2015-10-03	Amazon
The Martian	2015	2015-11-11	Theater
Groundhog Day	1993	2015-11-20	Amazon
Star Wars: The Force Awakens	2015	2015-12-19	Theater
Star Wars: The Force Awakens	2015	2015-12-26	Theater
Minions	2015	2015-12-26	Personal DVD
Ex Machina	2014	2016-01-15	Amazon
The Curse of the Were-Rabbit	2005	2016-01-22	Personal DVD
The Simpsons Movie	2007	2016-02-14	Personal DVD
The Lego Movie	2014	2016-07-15	Amazon
Scanners	1981	2016-07-15	Hulu
Spies Like Us	1985	2016-08-05	Netflix Streaming
Pink Floyd: The Wall	1982	2016-08-06	Download
Pete's Dragon	2016	2016-08-12	Theater
Police Academy	1984	2016-08-15	Crackle
Raiders of the Lost Ark	1981	2016-08-18	Theater
Indiana Jones and the Temple of Doom	1984	2016-08-18	Theater
Indiana Jones and the Last Crusade	1989	2016-08-19	Personal DVD
Star Wars: Episode IV - A New Hope	1977	2016-09-02	Theater
To Catch a Thief	1955	2016-10-22	Netflix Streaming
From Dusk Till Dawn	1996	2016-10-29	Netflix Streaming
The Player	1992	2016-11-02	FilmStruck
The Peanuts Movie	2015	2016-11-05	HBO Go
Pulp Fiction	1994	2016-11-06	Netflix Streaming
Army of Darkness	1992	2016-11-12	Crackle
Mad Max	1979	2016-11-16	FilmStruck
The Road Warrior	1981	2016-11-18	Amazon
...And God Created Woman	1956	2016-11-22	FilmStruck
Naked Lunch	1991	2016-11-24	HBO Go
Rogue One: A Star Wars Story	2016	2016-12-18	Theater
Tank Girl	1995	2017-01-11	TubiTV
The Grifters	1990	2017-01-16	FilmStruck
Death Race 2000	1975	2017-01-18	TubiTV
Death Race 2050	2017	2017-01-19	Netflix Streaming
Caddyshack	1980	2017-01-21	Netflix Streaming
Life of Brian	1979	2017-02-04	Personal BlueRay
The LEGO Batman Movie	2017	2017-02-12	Theater
The Running Man	1987	2017-02-26	Amazon
Dragnet	1987	2017-03-02	HBO Go
The Third Man	1949	2017-03-05	Netflix Streaming
An American Werewolf in London	1981	2017-03-10	Netflix Streaming
The Manchurian Candidate	2004	2017-03-14	Personal DVD
Mad Max: Fury Road	2015	2017-03-23	HBO Go
The Wages of Fear	1953	2017-04-01	FilmStruck
Night on Earth	1991	2017-04-30	FilmStruck
Twin Peaks: Fire Walk with Me	1992	2017-05-04	Showtime
Monsters vs. Aliens	2009	2017-05-20	HBO Go
A Hard Day's Night	1964	2017-06-07	FilmStruck
Moon	2009	2017-06-19	Amazon
Twilight Zone: The Movie	1983	2017-07-13	Download
Back to School	1986	2017-07-18	Download
Jacob's Ladder	1990	2017-07-23	Download
Last Woman on Earth	1960	2017-09-01	Amazon
The Adventures of Priscilla, Queen of the Desert	1994	2017-09-09	Download
The LEGO Ninjago Movie	2017	2017-09-24	Theater
Airplane II: The Sequel	1982	2017-11-22	Amazon
Key Largo	1948	2017-12-08	Amazon
Sunset Boulevard	1950	2017-12-10	Netflix
Star Wars: The Last Jedi	2017	2017-12-16	Theater
Star Wars: The Last Jedi	2017	2017-12-22	Theater
Shakes the Clown	1991	2018-01-20	Download
Ghostbusters	1984	2018-02-08	Personal DVD
¡Three Amigos!	1986	2018-02-17	Download
